,FIYAT,METREKARE,METREKARE_BIRIM_FIYAT,PARSEL,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL,ARSA_TIPI_BAG,ARSA_TIPI_BAHCE,ARSA_TIPI_CIFTLIK,ARSA_TIPI_D_A_I,ARSA_TIPI_HASTANE,ARSA_TIPI_I_K,ARSA_TIPI_I_S,ARSA_TIPI_I_T,ARSA_TIPI_K_T,ARSA_TIPI_M_A,ARSA_TIPI_OKUL,ARSA_TIPI_OZEL_K,ARSA_TIPI_S_A,ARSA_TIPI_TARLA,ARSA_TIPI_T_A,ARSA_TIPI_T_K,ARSA_TIPI_ZEYTINLIK
103,14.808762330974558,9.38429367909962,2.5649493574615367,6.688977185177567,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,13.710150042306449,7.313220387090301,7.313220387090301,1.0986122886681098,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,12.154779351142624,6.633318433280377,5.521460917862246,4.727387818712341,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,13.17115354157376,7.341483852363161,5.697093486505405,1.6094379124341003,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,13.737549016494562,8.624791202014256,6.247946158032702,4.49609909093373,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
108,13.262125319779487,7.313220387090301,5.950642552587727,2.0794415416798357,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,10.714417768752456,6.214608098422191,8.255343980952324,5.696923992106789,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,13.38472764187182,7.1308988302963465,7.21920270498418,4.958639998977875,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111,11.982929094215963,5.66988092298052,6.07450947437612,1.9459101490553132,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,13.64709190633931,5.926926025970411,3.8849943330402263,2.785011242238338,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
113,12.388394202324129,5.991464547107982,6.247946158032702,5.665949304167335,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114,11.127262984158243,5.537334267018537,6.360438546633731,1.3545456628053103,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,12.468436909997665,6.148468295917647,6.247946158032702,1.791759469228055,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,12.765688433465597,7.592366128519796,6.247946158032702,4.49609909093373,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,13.732128949025222,8.648221453822641,5.081404364984463,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,13.071070083016778,5.564520407322694,7.047517221357296,6.16541785423142,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,11.48246625748552,6.949856455000773,6.247946158032702,3.7376696182833684,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,13.049792684569493,5.886104031450156,0.0,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
121,14.28551418721001,8.131530710604252,6.389308092158631,6.355859614061853,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,14.151982794585487,6.684611727667927,7.431299675155903,6.189436799851394,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
123,12.468436909997665,7.422971251049421,5.043425116919247,5.003946305945459,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
124,13.304684934198283,8.946374826141717,6.247946158032702,4.49609909093373,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
125,15.250595083253597,6.398594934535208,6.680436356257446,-0.2876820724517809,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,12.206072645530174,5.950642552587727,6.247946158032702,4.49609909093373,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127,13.864300722133706,7.10085190894405,6.247946158032702,4.49609909093373,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,13.692212341619781,8.556413904569519,5.135798437050262,3.2188758248682006,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,12.604848765487542,7.20934025660291,6.247946158032702,4.49609909093373,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,12.043553716032399,7.6255950721324535,5.493061443340548,6.323641859446314,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,10.915088464214607,5.8998973535824915,8.237479288613633,2.0149030205422647,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132,12.971540487669746,9.22325659724273,6.247946158032702,4.948759890378168,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,13.493926933836812,7.795646536334594,5.703782474656201,6.066108090103747,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,10.933106969717286,5.991464547107982,6.247946158032702,5.665949304167335,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135,13.091904169919621,6.403574197934815,6.684611727667927,4.49609909093373,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136,12.2783933071098,5.886104031450156,7.7647825122911796,3.8153205525134344,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,11.082142548877775,5.991464547107982,6.247946158032702,5.665949304167335,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,13.38472764187182,6.214608098422191,8.255343980952324,5.696923992106789,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
139,13.487006490992238,8.34283980427146,5.14166355650266,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
