,FIYAT,IL,ILCE,MAHALLE,ARSA_TIPI,METREKARE,TAPU_DURUMU,METREKARE_BIRIM_FIYAT,PARSEL,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL
231,91000,TEKIRDAG,SARAY,AZIZIYE,I_K,259,MUSTAKIL PARSEL,1170.0,5.0,1,0,0,0,1,1,0,0
232,170000,ZONGULDAK,CAYCUMA,AYVAZLAR,TARLA,857,MUSTAKIL PARSEL,516.95,89.66666666666667,1,0,0,0,1,1,0,0
234,250000,KONYA,MERAM,INLICE,TARLA,5000,MUSTAKIL PARSEL,60.0,544.2083333333334,0,0,1,0,1,0,1,0
235,400000,MUGLA,MENTESE,MUSLIHITTIN,I_K,150,MUSTAKIL PARSEL,632.5714285714286,61.0,0,0,1,0,1,1,0,0
236,750000,ANKARA,MAMAK,UREGIL,I_K,915,MUSTAKIL PARSEL,111.0,111.0,0,0,1,0,1,1,0,0
238,800000,HATAY,ANTAKYA,ALAATTIN,CIFTLIK,4200,MUSTAKIL PARSEL,15406.8,456.1666666666667,1,0,0,1,0,1,0,0
239,100000,SAKARYA,PAMUKOVA,CARDAK,TARLA,687,MUSTAKIL PARSEL,12000.0,481.0,0,1,0,0,1,0,1,0
241,95000,ANTALYA,KAS,BEZIRGAN,M_A,410,ZILLIYET,150.0,491.0,0,1,0,0,1,0,0,1
242,105000,MANISA,YUNUSEMRE,GULBAHCE,BAG,1800,MUSTAKIL PARSEL,180.3,588.8333333333334,0,0,1,0,1,0,1,0
243,175000,ANTALYA,KEPEZ,ODABASI,I_K,267,MUSTAKIL PARSEL,395.0,89.66666666666667,0,0,1,0,1,0,0,1
244,42000,SAKARYA,GEYVE,CUKURKOY,BAHCE,850,MUSTAKIL PARSEL,464.9,614.2,0,1,0,0,1,0,0,1
245,1150000,SAMSUN,ONDOKUZMAYIS,CAMLICA,M_A,3200,BILINMIYOR,309.75,152.33333333333334,1,0,0,0,1,1,0,0
246,650000,TEKIRDAG,SULEYMANPASA,ISIKLAR,BAG,4400,HISSELI TAPU,7128.75,462.25,0,0,1,0,1,0,1,0
247,806000,GAZIANTEP,SAHINBEY,GERCIGIN,BAG,6200,MUSTAKIL PARSEL,130.0,97.0,0,0,1,0,1,1,0,0
248,250000,ANTALYA,KORKUTELI,BAYAT,BAHCE,2350,MUSTAKIL PARSEL,478.5,279.8,0,0,1,0,1,0,1,0
250,225000,IZMIR,DIKILI,YENICE,OZEL_K,2600,MUSTAKIL PARSEL,100.96428571428571,193.22222222222223,0,0,1,0,1,1,0,0
252,105000,KONYA,MERAM,CAYIRBAGI,I_K,558,MUSTAKIL PARSEL,1165.0,12.0,0,0,1,0,1,0,1,0
253,280000,IZMIR,FOCA,CUMHURIYET,I_K,321,MUSTAKIL PARSEL,685.0,36.666666666666664,0,0,1,0,1,0,1,0
