FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,TAPU_DURUMU,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYATI,ADA,PARSEL,KIRA_GETIRISI,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL
125000,MANISA,YUNUSEMRE,OSMANCALI,22228-6066,ZEYTINLIK,1550,MUSTAKIL PARSEL,0,,0.0,0.0,,0,0,1,0,1,0,1,0
360000,BALIKESIR,BANDIRMA,EDINCIK,119014-88,ZEYTINLIK,3275,,,,,,,0,0,0,0,1,0,1,0
110000,BALIKESIR,IVRINDI,KURTULUS,113146-30,TARLA,2736,MUSTAKIL PARSEL,IVRINDI,,65.0,45.0,,0,0,1,0,1,0,1,0
189000,ANKARA,ETIMESGUT,YUKARIYURTCU,94404-527,I_K,353,MUSTAKIL PARSEL,ETIMESGUT,,17.0,3.0,,0,0,1,0,1,0,1,0
165000,SAKARYA,KARAPURCEK,MESUDIYE,120852-4,BAHCE,1850,,,,,,,0,0,0,0,1,0,0,0
17000,ANKARA,MAMAK,ARAPLAR,45177-1797,I_K,20,,,,,,,0,0,0,1,0,0,0,0
260000,MERSIN(ICEL),SILIFKE,AKDERE,91160-296,TARLA,6367,MUSTAKIL PARSEL,,,,,,0,0,1,0,1,0,1,0
150000,IZMIR,MENEMEN,YAHSELLI,87919-366,I_K,100,,,,,,,0,0,0,1,0,0,0,0
180000,MANISA,SEHZADELER,SANCAKLICESMEBASI,22228-5781,BAHCE,2680,MUSTAKIL PARSEL,0,,0.0,0.0,,0,0,1,0,1,0,1,0
85000,MUGLA,MENTESE,YESILYURT,119678-3,BAHCE,539,,,,,,,0,0,0,0,1,0,0,0
735000,SINOP,MERKEZ,TASMANLI,111882-686,TARLA,7100,MUSTAKIL PARSEL,SINOP,,118.0,32.0,,0,0,1,0,1,0,1,0
120000,BALIKESIR,ERDEK,SAHINBURGAZ,11065-1588,TARLA,3227,MUSTAKIL PARSEL,ERDEK,37.0,172.0,8.0,,0,0,1,0,1,0,0,1
250000,CANAKKALE,EZINE,GEYIKLI (HURRIYET),65273-1445,ZEYTINLIK,5200,,,,,,,0,0,0,0,1,0,0,0
310000,IZMIR,MENEMEN,FATIH,109304-128,I_K,350,MUSTAKIL PARSEL,MENEMEN,,,,,0,0,0,0,1,0,1,0
450000,MUGLA,MENTESE,KARAMEHMET,84001-654,I_T,1350,,,,,,,0,0,0,1,0,0,0,0
350000,KARABUK,SAFRANBOLU,YAZIKOY,14442-129,I_K,1363,MUSTAKIL PARSEL,,,,,,0,1,0,0,1,0,1,0
475000,ADANA,SARICAM,ISTIKLAL,68511-450,I_K,597,MUSTAKIL PARSEL,SARICAM,1.0,1.0,1.0,1.0,0,0,1,0,1,0,1,0
175000,HATAY,ALTINOZU,FATIKLI,109496-369,I_K,540,,,,,,,0,0,0,0,1,0,0,0
850000,BALIKESIR,EDREMIT,CAMLIBEL,110461-227,ZEYTINLIK,15057,MUSTAKIL PARSEL,EDREMIT,,574.0,3.0,,0,0,1,0,1,0,1,0
1250000,HATAY,ANTAKYA,GULDEREN,78702-512,I_K,7509,,,,,,,0,0,0,0,1,0,0,0
450000,MUGLA,MILAS,GURCEGIZ,0-36123544,I_K,1518,MUSTAKIL PARSEL,MILAS BELEDIYESI,,131.0,25.0,,0,0,1,1,0,1,0,0
255000,ANTALYA,KAS,CESME,8797-651,TARLA,5000,MUSTAKIL PARSEL,KAS,51.0,0.0,0.0,,0,1,0,0,1,0,1,0
199000,TEKIRDAG,MARMARAEREGLISI,CESMELI,10908-914,I_K,153,MUSTAKIL PARSEL,MARMARAEREGLISI,1300.0,22.0,3.0,,0,0,1,0,1,0,1,0
2500000,ANTALYA,KEMER,MERKEZ,49128-1523,I_K,1063,MUSTAKIL PARSEL,KEMER,,,,5000.0,0,0,1,0,1,0,1,0
1250000,ISTANBUL,SILE,DOGANCILI,43070-695,I_K,1200,MUSTAKIL PARSEL,,1042.0,,,,0,0,1,0,1,0,1,0
