FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYAT,ADA,PARSEL,KIRA_GETIRISI
2250000,CANAKKALE,LAPSEKI,KANGIRLI,68084-1410,I_K,5000,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,LAPSEKI,,,,
61000,ANKARA,MAMAK,YUKARI IMROHOR,98033-517,I_K,220,UYGUN,HISSELI TAPU,EVET,EVET,MAMAK BELEDIYESI,277,52064,1,
650000,SAMSUN,TERME,HUSEYINMESCIT,116358-50,BAHCE,14400,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,TERME,38,,,
2400000,CANAKKALE,LAPSEKI,UMURBEY (UMURBEY),48534-1593,BAHCE,40000,,MUSTAKIL PARSEL,,HAYIR,,,,,
12000000,MERSIN(ICEL),YENISEHIR,LIMONLUK,117846-191,I_K,2572,UYGUN,BILINMIYOR,HAYIR,HAYIR,YENISEHIR,4500,,,10000000.0
80000,BURSA,ORHANGAZI,YENIKOY,90588-23,I_K,268,,,,HAYIR,,,,,
1500000,DENIZLI,MERKEZEFENDI,GERZELE,73618-10045,I_K,945,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,MERKEZEFENDI,,,,
80000,KONYA,SELCUKLU,HOCACIHAN,112660-188,I_K,193,UYGUN DEGIL,HISSELI TAPU,EVET,HAYIR,SELCUKLU,,20125,5,
7800000,ISTANBUL,USKUDAR,BURHANIYE,0-10206979,K_T,830,UYGUN,HISSELI TAPU,HAYIR,HAYIR,USKUDAR,,738,5,
825000,GAZIANTEP,SAHINBEY,SARISALKIM,0-35846929,TARLA,3100,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,,,106,19,
1200000,IZMIR,DIKILI,DENIZKOY,31875-1649,TARLA,13176,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,DIKILI,,0,0,
185000,KOCAELI,GEBZE,DURAKLI,116101-26,TARLA,1310,,,,HAYIR,,,,,
759000,ANTALYA,ELMALI,TAVULLAR,99744-402,TARLA,25300,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,ELMALI ANTLYA,,,,
2250000,IZMIR,TORBALI,PANCAR,54684-2230,TARLA,17400,UYGUN DEGIL,MUSTAKIL PARSEL,HAYIR,HAYIR,,,0,1369,
4500000,BURSA,NILUFER,KAYAPA,77045-1559,I_K,3000,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
1900000,CANAKKALE,LAPSEKI,SULUCA,78920-447,TARLA,7463,,MUSTAKIL PARSEL,HAYIR,HAYIR,LAPSEKI,250,142,37,
550000,ANTALYA,SERIK,CANDIR,90367-598,TARLA,10000,,,,HAYIR,,,,,
